"Airport..Name" "Origin.State" "origin_id"
"CORNELL MUNICIPAL ARPT" "Wisconsin" 426
"REPUBLIC AIRPORT" "New York" 427
"COLUMBUS METRO" "Georgia" 428
"NANTUCKET MEMORIAL" "Massachusetts" 429
"HEMET-RYAN ARPT" "California" 430
"CUBA MUNICIPAL ARPT" "Missouri" 431
"LOVELL FIELD ARPT" "Tennessee" 432
"BLOOMINGTON/NORMAL" "Illinois" 433
"TEXARKANA-WEBB FIELD" "Arkansas" 434
"GRIFFING SANDUSKY ARPT" "Ohio" 435
"DULUTH INTL ARPT" "Minnesota" 436
"TRI-STATE MILTON FERGUSON" "West Virginia" 437
"PAGE FIELD ARPT" "Florida" 438
"BOLTON FIELD ARPT" "Ohio" 439
"CHARLES DE GAULLE" "N/A" 440
"KEY FLD" "Mississippi" 441
"JOHN F KENNEDY MEMORIAL" "Wisconsin" 442
"HARTFORD-BRAINARD ARPT" "Connecticut" 443
NULL "Delaware" 444
"GUARULHOS INTL" "N/A" 445
"TRADEWIND ARPT" "Texas" 446
"UNIV OF ILLINOIS -WILLARD ARPT" "Illinois" 447
"ROBERTS FIELD ARPT" "Oregon" 448
"GREAT FALLS INTL" "Montana" 449
"DUSSELDORF" "N/A" 450
"SAINT HUBERT" "Quebec" 451
"CUYAHOGA COUNTY ARPT" "Ohio" 452
"CENTRAL NEBRASKA REGIONAL" "Nebraska" 453
"LOS CABOS INTL" "N/A" 454
"DUPAGE AIRPORT" "Illinois" 455
"DICKINSON-THEODORE ROOSEVELT RGNL" "North Dakota" 456
"CIAMPINO (ROME)" "N/A" 457
"ROSTRAVER" "Pennsylvania" 458
"HURON COUNTY MEMORIAL" "Michigan" 459
"HELENA REGIONAL" "Montana" 460
"OUTAGAMIE COUNTY REGIONAL" "Wisconsin" 461
NULL "Alaska" 462
"LIVERMORE MUNICIPAL ARPT" "California" 463
"LA CROSSE MUNICIPAL AIRPORT" "Wisconsin" 464
"SANTIAGO INTL" "N/A" 465
"SOUTH BEND REGIONAL" "Indiana" 466
"BOWLING GREEN-WARREN" "Kentucky" 467
"OAKLAND/TROY ARPT" "Michigan" 468
"TOLUCA/LIC ADOLFO" "N/A" 469
"INDIANAPOLIS REGIONAL ARPT" "Indiana" 470
